review_id,candidate_id,premise,hypothesis,auto_label,review_label,keep,notes,source_org,theme,pair_type,transform,source_file,review_status
frdr_v1_0020,fdcp_v9_0225,The methodologies and tools for managing and disclosing climate-related and environmental risks are expected to mature over time.,"In any case, the heads of internal control functions should – and under Article 76(5) of Directive 2013/36/EU the head of the risk management function must – not be removed without the prior approval of the management body in its supervisory function.",neutral,,,,ECB,climate,cross_source_neutral,,data/processed/finreg/ecb/ecb_climate_guide_family.txt,pending
frdr_v1_0021,fdcp_v9_0171,"Resolution The assessment of the home state resolution framework for UK branches is the same as for UK subsidiaries of foreign groups (see Chapter 3), but in addition the PRA considers whether depositors of the UK branch will receive fair treatment under the home jurisdiction’s insolvency and resolution regime.","Resolution The assessment of the home state resolution framework for UK branches is the same as for UK subsidiaries of foreign groups (see Chapter 3), but in addition the PRA considers whether depositors of the UK branch will receive fair treatment under the home jurisdiction’s insolvency and resolution regime.",entailment,,,,PRA-BoE,branch_governance,extractive_entailment,,data/processed/finreg/pra_boe/pra_ss5_21_branch_subsidiary.txt,pending
frdr_v1_0022,fdcp_v9_0085,The Guidelines differentiate between requirements on critical and important outsourcing arrangements and other outsourcing arrangements Outsourcing of critical and important functions has a higher impact on the institutions' and payment institutions' risk profile.,It stresses the importance of risk governance as part of a bank's overall corporate governance framework and promotes the value of strong boards and board committees together with effective control functions.,neutral,,,,EBA,outsourcing,cross_source_neutral,,data/processed/finreg/eba/eba_outsourcing.txt,pending
frdr_v1_0023,fdcp_v9_0150,The Basel Committee's Principles for effective risk data aggregation will strengthen banks' risk data aggregation capabilities and internal risk reporting practices.,"To achieve this, the PRA expects there to be regular structured engagement with the home state supervisor, either through a college or bilateral meetings or both, as appropriate, which should facilitate a technical discussion of the material risks and risk management practices at the firm.",neutral,,,,BCBS,rdarr,cross_source_neutral,,data/processed/finreg/bcbs/bcbs239.txt,pending
frdr_v1_0024,fdcp_v9_0018,"Over time, the tools will also provide supervisors with a better understanding of banks' payment and settlement behaviour.","Over time, the tools will also provide supervisors with a better understanding of banks' payment and settlement behaviour.",entailment,,,,BCBS,liquidity,extractive_entailment,,data/processed/finreg/bcbs/bcbs248_intraday_liquidity.txt,pending
frdr_v1_0025,fdcp_v9_0229,"These include the objectives, governance, policies, processes, methodology, resources and documentation that guide stress testing activities and facilitate the use, implementation and oversight of stress testing frameworks.","These include the objectives, governance, policies, processes, methodology, resources and documentation that guide stress testing activities and facilitate the use, implementation and oversight of stress testing frameworks.",entailment,,,,BCBS,governance,extractive_entailment,,data/processed/finreg/bcbs/bcbs_stress_testing_principles.txt,pending
frdr_v1_0026,fdcp_v9_0088,"For systemic wholesale branches, as part of its supervisory programme, the PRA will expect to meet at least annually as part of existing annual meetings with the CEO or the CRO, or both, of the authorised entity of which the branch is part, to discuss the PRA’s expectations on information sharing, as outlined in Box 1, for the firm.","For systemic wholesale branches, as part of its supervisory programme, the PRA will not expect to meet at least annually as part of existing annual meetings with the CEO or the CRO, or both, of the authorised entity of which the branch is part, to discuss the PRA’s expectations on information sharing, as outlined in Box 1, for the firm.",contradiction,,,,PRA-BoE,branch_governance,minimal_contradiction,will_not,data/processed/finreg/pra_boe/pra_ss5_21_branch_subsidiary.txt,pending
frdr_v1_0027,fdcp_v9_0063,"While this broader application can increase complexity and may involve additional investments in governance, technology and personnel, it may offer opportunities to rationalise systems, remove silos, reduce costs and improve data quality across domains.",A new chapter on internal models for market risk under CRR3 has been introduced while also keeping the chapter on internal models for market risk under CRR2.,neutral,,,,BCBS,governance,cross_source_neutral,,data/processed/finreg/bcbs/bcbs239_impl_note.txt,pending
frdr_v1_0028,fdcp_v9_0233,"Article 100 of Directive 2013/36/EU requires competent authorities to carry out as appropriate , but at least annually , supervisory stress tests on institutions they supervise whose results should be taken into account in the SREP.","Article 100 of Directive 2013/36/EU requires competent authorities to carry out as appropriate , but at least annually , supervisory stress tests on institutions they supervise whose results should be taken into account in the SREP.",entailment,,,,EBA,stress_testing,extractive_entailment,,data/processed/finreg/eba/eba_srep_hub.txt,pending
frdr_v1_0029,fdcp_v9_0230,"To ensure the completeness of processes and control mechanisms, the framework should be applicable to all material legal entities, risks and business lines as well as financial and supervisory reporting processes, and should cover the entire lifecycle of the data (i.e. all processes from data origination, capture and aggregation to reporting).","They reminded that in line with the EBA report on ESG risk management and supervision (published in July 2021) climate risk should be incorporated proportionately and progressively, and only following further data and methodological developments in the area of climate stress testing.",neutral,,,,ECB,general,cross_source_neutral,,data/processed/finreg/ecb/ecb_rdarr_guide.txt,pending
frdr_v1_0030,fdcp_v9_0191,National supervisors will determine the extent to which the tools apply to non-internationally active banks within their jurisdictions.,National supervisors will determine the extent to which the tools apply to non-internationally active banks within their jurisdictions.,entailment,,,,BCBS,liquidity,extractive_entailment,,data/processed/finreg/bcbs/bcbs248_intraday_liquidity.txt,pending
frdr_v1_0031,fdcp_v9_0173,"Competent authorities should assess the institution’s exposure to intraday liquidity risk for a selected time horizon, including the intraday availability of liquid assets given the unpredictable nature of unexpected intraday outflows or lack of inflows.","Competent authorities should not assess the institution’s exposure to intraday liquidity risk for a selected time horizon, including the intraday availability of liquid assets given the unpredictable nature of unexpected intraday outflows or lack of inflows.",contradiction,,,,EBA,liquidity,minimal_contradiction,should_not,data/processed/finreg/eba/eba_srep_hub.txt,pending
frdr_v1_0032,fdcp_v9_0039,Aggregate results of the CCR exploratory scenario will be published together with those of the ECB stress test on early August.,Aggregate results of the CCR exploratory scenario will be published together with those of the ECB stress test on early August.,entailment,,,,ECB,stress_testing,extractive_entailment,,data/processed/finreg/ecb/ecb_2025_stress_test.txt,pending
frdr_v1_0033,fdcp_v9_0058,"This step in validation should ensure that judgment exercised in model design and construction is well informed, carefully considered, and consistent with published research and with sound industry practice.","This step in validation should not ensure that judgment exercised in model design and construction is well informed, carefully considered, and consistent with published research and with sound industry practice.",contradiction,,,,Federal Reserve,model_risk,minimal_contradiction,should_not,data/processed/finreg/fed_occ/fed_sr11_7_model_risk.txt,pending
frdr_v1_0034,fdcp_v9_0165,"This can include individuals performing this role across a range of UK legal entities, such as a regional head of internal audit responsible for this area in the firm’s UK subsidiaries as well as the branch.","This can exclude individuals performing this role across a range of UK legal entities, such as a regional head of internal audit responsible for this area in the firm’s UK subsidiaries as well as the branch.",contradiction,,,,PRA-BoE,branch_governance,minimal_contradiction,include_exclude,data/processed/finreg/pra_boe/pra_ss4_16_third_country_branches.txt,pending
frdr_v1_0035,fdcp_v9_0040,"While there is no single approach to good corporate governance, the Basel Committee's revised principles provide a framework within which banks and supervisors should operate to achieve robust and transparent risk management and decision-making and, in doing so, promote public confidence and uphold the safety and soundness of the banking system.","While there is no single approach to good corporate governance, the Basel Committee's revised principles provide a framework within which banks and supervisors should operate to achieve robust and transparent risk management and decision-making and, in doing so, promote public confidence and uphold the safety and soundness of the banking system.",entailment,,,,BCBS,governance,extractive_entailment,,data/processed/finreg/bcbs/bcbs_corporate_governance.txt,pending
frdr_v1_0036,fdcp_v9_0074,"The assessment should consider the interconnections and interrelated functioning of the ICAAP and ILAAP with the risk appetite framework, risk management, and liquidity and capital management, including forward -looking funding strategies , and whether they are appropriate for the business model and complexity of the institution.","The assessment should not consider the interconnections and interrelated functioning of the ICAAP and ILAAP with the risk appetite framework, risk management, and liquidity and capital management, including forward -looking funding strategies , and whether they are appropriate for the business model and complexity of the institution.",contradiction,,,,EBA,srep,minimal_contradiction,should_not,data/processed/finreg/eba/eba_srep_hub.txt,pending
frdr_v1_0037,fdcp_v9_0240,The review will involve using supervisory models to benchmark the main risk parameters across geographies and business models.,The review will not involve using supervisory models to benchmark the main risk parameters across geographies and business models.,contradiction,,,,ECB,general,minimal_contradiction,will_not,data/processed/finreg/ecb/ecb_2025_stress_test.txt,pending
frdr_v1_0038,fdcp_v9_0037,"To achieve this, the PRA expects there to be regular structured engagement with the home state supervisor, either through a college or bilateral meetings or both, as appropriate, which should facilitate a technical discussion of the material risks and risk management practices at the firm.","To achieve this, the PRA expects there to be regular structured engagement with the home state supervisor, either through a college or bilateral meetings or both, as appropriate, which should not facilitate a technical discussion of the material risks and risk management practices at the firm.",contradiction,,,,PRA-BoE,general,minimal_contradiction,should_not,data/processed/finreg/pra_boe/pra_ss5_21_branch_subsidiary.txt,pending
frdr_v1_0039,fdcp_v9_0146,"This update takes into account the amendments introduced by the fifth Capital Requirements Directive (CRD V) in relation to institutions’ sound remuneration policies and, in particular, the requirement that remuneration policies should be gender neutral.",The revised guidance emphasises the critical importance of effective corporate governance for the safe and sound functioning of banks.,neutral,,,,EBA,general,cross_source_neutral,,data/processed/finreg/eba/eba_sound_remuneration.txt,pending
frdr_v1_0040,fdcp_v9_0098,"A banking organization’s internal audit function should assess the overall effectiveness of the model risk management framework, including the framework’s ability to address both types of model risk for individual models and in the aggregate.","A banking organization’s internal audit function should assess the overall effectiveness of the model risk management framework, including the framework’s ability to address both types of model risk for individual models and in the aggregate.",entailment,,,,Federal Reserve,model_risk,extractive_entailment,,data/processed/finreg/fed_occ/fed_sr11_7_model_risk.txt,pending
frdr_v1_0041,fdcp_v9_0036,Both the findings from the self-assessment and remediation plans should be documented and shared with firms’ boards in a timely manner.,Both the findings from the self-assessment and remediation plans should be documented and shared with firms’ boards in a timely manner.,entailment,,,,PRA-BoE,governance,extractive_entailment,,data/processed/finreg/pra_boe/pra_cp6_22_model_risk.txt,pending
frdr_v1_0042,fdcp_v9_0127,Additional points for authorities: points with particular relevance to (a) supervisor-run stress tests and (b) the authorities' role in bank-run supervisory stress tests.,"The ICT and security risk management framework should be approved and reviewed, at least once a year, by the management body.",neutral,,,,BCBS,stress_testing,cross_source_neutral,,data/processed/finreg/bcbs/bcbs_stress_testing_principles.txt,pending
frdr_v1_0043,fdcp_v9_0033,"The recommendation on outsourcing to cloud service providers, published in December 2017, has also been integrated into the Guidelines.","The guide provides transparency on how the ECB understands the rules governing the internal models used by the institutions it directly supervises to compute own funds requirements for credit, market and counterparty credit risk.",neutral,,,,EBA,outsourcing,cross_source_neutral,,data/processed/finreg/eba/eba_outsourcing.txt,pending
frdr_v1_0044,fdcp_v9_0151,The framework includes: the detailed design of the monitoring tools for a bank's intraday liquidity risk; stress scenarios; key application issues; and the reporting regime.,The framework includes: the detailed design of the monitoring tools for a bank's intraday liquidity risk; stress scenarios; key application issues; and the reporting regime.,entailment,,,,BCBS,liquidity,extractive_entailment,,data/processed/finreg/bcbs/bcbs248_intraday_liquidity.txt,pending
frdr_v1_0045,fdcp_v9_0020,"Industry participants have highlighted the complexity of aligning with principles, expectations and in some cases requirements in different jurisdictions.","Finally, the stress test exercise will support macroprudential tasks, and the ECB will assess the macroprudential implications of the results for the euro area.",neutral,,,,BCBS,ict,cross_source_neutral,,data/processed/finreg/bcbs/bcbs239_impl_note.txt,pending
frdr_v1_0046,fdcp_v9_0090,"Boards must also remain aware of significant problems or shortcomings that could result in material risks that could lead to financial losses, potentially impacting the safety and soundness of the bank.","Boards must also remain aware of significant problems or shortcomings that could result in material risks that could lead to financial losses, potentially impacting the safety and soundness of the bank.",entailment,,,,BCBS,governance,extractive_entailment,,data/processed/finreg/bcbs/bcbs239_impl_note.txt,pending
frdr_v1_0047,fdcp_v9_0042,"35 Institutions should monitor the development of the gender pay gap separately for identified staff (excluding members of the management body), members of the management body in its management function, members of the management body in the supervisory function and other staff.","35 Institutions should monitor the development of the gender pay gap separately for identified staff (excluding members of the management body), members of the management body in its management function, members of the management body in the supervisory function and other staff.",entailment,,,,EBA,governance,extractive_entailment,,data/processed/finreg/eba/eba_internal_governance.txt,pending
frdr_v1_0048,fdcp_v9_0234,"In particular, the Guide clarifies supervisors’ expectations regarding how management bodies and committees should be composed and function, spells out the roles and responsibilities of the internal control functions, emphasises the importance of risk culture and outlines expectations regarding the risk appetite frameworks of banks.","In particular, the Guide clarifies supervisors’ expectations regarding how management bodies and committees should not be composed and function, spells out the roles and responsibilities of the internal control functions, emphasises the importance of risk culture and outlines expectations regarding the risk appetite frameworks of banks.",contradiction,,,,ECB,governance,minimal_contradiction,should_not,data/processed/finreg/ecb/ecb_governance_risk_culture_consultation.txt,pending
frdr_v1_0049,fdcp_v9_0132,"A new chapter on overarching principles for internal models has been introduced, which replaces the general topics chapter.","The principles set a common baseline for banks and supervisors in managing risks associated with third-party providers, while allowing sufficient flexibility to adapt to evolving practices and regulatory frameworks across jurisdictions.",neutral,,,,ECB,model_risk,cross_source_neutral,,data/processed/finreg/ecb/ecb_internal_models_guide.txt,pending
frdr_v1_0050,fdcp_v9_0213,"It expects to see progress in their risk management and disclosure, and hopes to support this by clarifying supervisory expectations.","It does not expect to see progress in their risk management and disclosure, and hopes to support this by clarifying supervisory expectations.",contradiction,,,,ECB,climate,minimal_contradiction,expects_not,data/processed/finreg/ecb/ecb_climate_guide_family.txt,pending
frdr_v1_0051,fdcp_v9_0170,Some banks have chosen to include risk data aggregation (RDA) in broader enterprise-wide data governance frameworks to support their various initiatives related to data governance and management.,"In the specific framework of collective suitability, the joint ESMA and EBA Guidelines require that the management body collectively possess the skills to effectively manage and oversee the institution, including, among other aspects, the business of the institution, the main risks related to it and IT and security.",neutral,,,,BCBS,rdarr,cross_source_neutral,,data/processed/finreg/bcbs/bcbs239_impl_note.txt,pending
frdr_v1_0052,fdcp_v9_0113,"It expects to see progress in their risk management and disclosure, and hopes to support this by clarifying supervisory expectations.","It expects to see progress in their risk management and disclosure, and hopes to support this by clarifying supervisory expectations.",entailment,,,,ECB,climate,extractive_entailment,,data/processed/finreg/ecb/ecb_climate_guide_family.txt,pending
frdr_v1_0053,fdcp_v9_0097,"While a firm may rely extensively on its group for booking, risk management, and other services, the PRA considers that the firm should have sufficient risk management capabilities if it is to satisfy the relevant threshold conditions and comply with the Fundamental Rules.","While a firm may rely extensively on its group for booking, risk management, and other services, the PRA considers that the firm should have sufficient risk management capabilities if it is to satisfy the relevant threshold conditions and comply with the Fundamental Rules.",entailment,,,,PRA-BoE,general,extractive_entailment,,data/processed/finreg/pra_boe/pra_ss5_21_branch_subsidiary.txt,pending
frdr_v1_0054,fdcp_v9_0114,The policy addresses risks to operational resilience from the interconnectedness of the financial system and the complex and dynamic environment in which firms operate.,The Federal Reserve’s Trading and Capital-Markets Activities Manual also discusses validation and model risk management.,neutral,,,,PRA-BoE,operational_resilience,cross_source_neutral,,data/processed/finreg/pra_boe/pra_ss1_21_operational_resilience.txt,pending
frdr_v1_0055,fdcp_v9_0244,"These include the objectives, governance, policies, processes, methodology, resources and documentation that guide stress testing activities and facilitate the use, implementation and oversight of stress testing frameworks.","A new chapter on overarching principles for internal models has been introduced, which replaces the general topics chapter.",neutral,,,,BCBS,governance,cross_source_neutral,,data/processed/finreg/bcbs/bcbs_stress_testing_principles.txt,pending
frdr_v1_0056,fdcp_v9_0005,Credit risk chapter General topics for credit risk This sub-chapter includes the subset of supervisory expectations from the former general topics chapter that are applicable to internal models for credit risk and are therefore better placed within the credit risk chapter.,Credit risk chapter General topics for credit risk This sub-chapter excludes the subset of supervisory expectations from the former general topics chapter that are applicable to internal models for credit risk and are therefore better placed within the credit risk chapter.,contradiction,,,,ECB,model_risk,minimal_contradiction,includes_excludes,data/processed/finreg/ecb/ecb_internal_models_guide.txt,pending
frdr_v1_0057,fdcp_v9_0158,"This can include individuals performing this role across a range of UK legal entities, such as a regional head of internal audit responsible for this area in the firm’s UK subsidiaries as well as the branch.","When performing supervisory liquidity stress testing for Category 3 and Category 4 institutions, competent authorities may use fewer scenarios and apply lower granularity of the analysis than for other institutions.",neutral,,,,PRA-BoE,branch_governance,cross_source_neutral,,data/processed/finreg/pra_boe/pra_ss4_16_third_country_branches.txt,pending
frdr_v1_0058,fdcp_v9_0236,"This update takes into account the amendments introduced by the fifth Capital Requirements Directive (CRD V) in relation to institutions’ sound remuneration policies and, in particular, the requirement that remuneration policies should be gender neutral.","This update takes into account the amendments introduced by the fifth Capital Requirements Directive (CRD V) in relation to institutions’ sound remuneration policies and, in particular, the requirement that remuneration policies should not be gender neutral.",contradiction,,,,EBA,general,minimal_contradiction,should_not,data/processed/finreg/eba/eba_sound_remuneration.txt,pending
frdr_v1_0059,fdcp_v9_0035,"Implementation of the principles will strengthen risk management at banks - in particular, G-SIBs - thereby enhancing their ability to cope with stress and crisis situations.","For international banks with UK branches undertaking wholesale business, in assessing whether the branch is systemically important, the PRA considers (among other things) a similar threshold, where the total gross assets attributed to the branch, and where relevant other UK branches in the group, exceed an average of £15 billion.",neutral,,,,BCBS,general,cross_source_neutral,,data/processed/finreg/bcbs/bcbs239.txt,pending
frdr_v1_0060,fdcp_v9_0149,"Basel III: The Liquidity Coverage Ratio and liquidity risk monitoring tools (January 2013), which sets out one of the Committee's key reforms to strengthen global liquidity regulations does not include intraday liquidity within its calibration.","Basel III: The Liquidity Coverage Ratio and liquidity risk monitoring tools (January 2013), which sets out one of the Committee's key reforms to strengthen global liquidity regulations does not include intraday liquidity within its calibration.",entailment,,,,BCBS,liquidity,extractive_entailment,,data/processed/finreg/bcbs/bcbs248_intraday_liquidity.txt,pending
frdr_v1_0061,fdcp_v9_0104,"The PRA considers its proposed overarching MRM framework is complementary to existing supervisory expectations for models, and the PRA intends to use the proposed MRM framework to inform future policy proposals relating to models.","Industry participants have highlighted the complexity of aligning with principles, expectations and in some cases requirements in different jurisdictions.",neutral,,,,PRA-BoE,general,cross_source_neutral,,data/processed/finreg/pra_boe/pra_cp6_22_model_risk.txt,pending
frdr_v1_0062,fdcp_v9_0163,Outsourcing arrangements are one aspect of institutions' and payment institutions' organisational structure.,The ECB saw a need for a new revision of the guide in 2025 because CRR3 (which entered into force on 1 January 2025) introduced several amendments in the context of internal models used to determine own funds requirements.,neutral,,,,EBA,outsourcing,cross_source_neutral,,data/processed/finreg/eba/eba_outsourcing.txt,pending
frdr_v1_0063,fdcp_v9_0210,"To ensure the completeness of processes and control mechanisms, the framework should be applicable to all material legal entities, risks and business lines as well as financial and supervisory reporting processes, and should cover the entire lifecycle of the data (i.e. all processes from data origination, capture and aggregation to reporting).","To ensure the completeness of processes and control mechanisms, the framework should be applicable to all material legal entities, risks and business lines as well as financial and supervisory reporting processes, and should cover the entire lifecycle of the data (i.e. all processes from data origination, capture and aggregation to reporting).",entailment,,,,ECB,general,extractive_entailment,,data/processed/finreg/ecb/ecb_rdarr_guide.txt,pending
frdr_v1_0064,fdcp_v9_0048,"While there is no single approach to good corporate governance, the Basel Committee's revised principles provide a framework within which banks and supervisors should operate to achieve robust and transparent risk management and decision-making and, in doing so, promote public confidence and uphold the safety and soundness of the banking system.","While there is no single approach to good corporate governance, the Basel Committee's revised principles provide a framework within which banks and supervisors should not operate to achieve robust and transparent risk management and decision-making and, in doing so, promote public confidence and uphold the safety and soundness of the banking system.",contradiction,,,,BCBS,governance,minimal_contradiction,should_not,data/processed/finreg/bcbs/bcbs_corporate_governance.txt,pending
frdr_v1_0065,fdcp_v9_0195,"The management body should full y know and understand the legal, organisational and operational structure of the institution (‘know your structure’) and ensure that it is in line with its approved business and risk strategy and risk appetite and covered by its risk management framework.","The management body should not full y know and understand the legal, organisational and operational structure of the institution (‘know your structure’) and ensure that it is in line with its approved business and risk strategy and risk appetite and covered by its risk management framework.",contradiction,,,,EBA,governance,minimal_contradiction,should_not,data/processed/finreg/eba/eba_internal_governance.txt,pending
frdr_v1_0066,fdcp_v9_0192,National supervisors will determine the extent to which the tools apply to non-internationally active banks within their jurisdictions.,National supervisors will not determine the extent to which the tools apply to non-internationally active banks within their jurisdictions.,contradiction,,,,BCBS,liquidity,minimal_contradiction,will_not,data/processed/finreg/bcbs/bcbs248_intraday_liquidity.txt,pending
frdr_v1_0067,fdcp_v9_0249,"Banks are expected to assess the risks they face and, in a forward-looking manner, ensure that all material risks are identified, effectively managed and covered by adequate capital and liquidity levels at all times.","Banks are not expected to assess the risks they face and, in a forward-looking manner, ensure that all material risks are identified, effectively managed and covered by adequate capital and liquidity levels at all times.",contradiction,,,,ECB,srep,minimal_contradiction,expected_not,data/processed/finreg/ecb/ecb_icaap_ilaap_consultation.txt,pending
